전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
35.1,5,60,32,0,0,0,0,1,0,0,0,0,0,0,10.094149233605084
59.56,14,56,44,0,0,0,0,0,0,0,1,0,0,1,9.220389707829185
59.98,2,60,40,0,0,0,0,0,0,0,0,0,1,1,8.794976432
58.65,8,59,40,0,0,0,0,0,0,0,0,0,0,0,9.093918908958932
99.956,7,55,40,0,0,0,0,1,0,0,0,0,0,1,10.163965423497029
75.649,3,60,44,0,0,0,0,0,0,0,0,0,0,1,9.249657234353132
84.95,5,60,54,0,0,0,0,0,0,0,0,0,0,1,10.250652418696085
135.67,3,58,47,1,0,0,0,0,0,0,0,0,0,1,12.230770136157428
84.988,15,62,48,0,0,0,0,0,0,0,0,0,0,1,10.214678610538815
84.9368,11,55,44,0,0,0,1,0,0,0,0,0,0,1,10.073272520325904
124.84775,22,57,48,0,1,0,0,0,0,0,0,0,0,1,10.491301994830229
122.095,11,55,29,0,0,0,0,1,0,0,0,0,0,1,10.434145214930489
84.99,5,60,46,0,0,0,0,1,0,0,0,0,0,0,10.685126264117056
65.16,4,58,26,0,0,0,0,0,1,0,0,0,0,1,9.082620630373812
84.9888,5,59,58,0,0,0,0,0,0,0,0,0,1,1,10.021315031649332
84.32,17,55,39,0,0,1,0,0,0,0,0,0,0,0,10.196194479235656
49.44,14,63,40,0,0,0,0,1,0,0,0,0,0,1,9.903537551
59.84,7,60,37,0,0,0,0,0,0,0,0,0,0,1,9.546884034617923
59.9492,13,58,56,0,0,0,0,1,0,0,0,0,0,1,9.798182590890704
84.9707,9,62,57,0,0,0,0,0,0,0,0,0,0,1,10.165890277802454
59.99,15,55,50,1,0,0,0,0,0,0,0,0,0,0,10.628641991731053
59.67,7,59,37,0,0,0,0,0,0,1,0,0,0,1,9.210440366976515
59.9988,2,62,44,0,0,0,0,1,0,0,0,0,0,1,10.05195066017375
72.572,24,59,57,0,0,0,0,0,0,0,0,0,0,1,10.181157167204905
84.956,15,56,52,0,0,0,0,0,0,0,0,0,0,1,10.043292972227004
59.76,12,56,38,0,0,0,0,1,0,0,0,0,0,1,9.989711119284744
