지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
42750,3,46.98,4,6650,0,기타동,ㅈ,8.802522498,58,32
43114,4,32.76,11,6400,0,율량동,ㄷ,8.764209507,55,36
11740,11,102.34,29,123000,1,기타동,ㄹ,11.71994776,59,48
11230,4,84.774,16,46500,1,장안동,ㄹ,10.7472291,55,43
45140,6,84.94,1,15000,0,영등동,ㅅ,9.615872145,60,32
28177,7,15.6,6,7995,0,주안동,ㄷ,8.986696696,55,55
42110,5,84.933,11,22500,0,퇴계동,ㅌ,10.02131503,57,39
42130,4,57.84,4,8200,0,기타동,ㄷ,9.012011377,63,32
11500,4,89.975,14,50500,1,기타동,ㄷ,10.82974842,56,35
41465,3,105.548,6,52000,1,성복동,ㅅ,10.85901823,58,52
11470,7,149.28,16,100000,1,목동,ㅂ,11.51293546,56,40
47150,9,59.64,15,8150,0,기타동,ㄷ,9.005895898,62,39
